execution_engine_id,execution_engine_name,supported_platform,execution_engine_pointer
1,WMPengine,WMP,./runtime/connectors/wmp_linux/execution_engine/wmp
2,FACTORYengine,WMP,./runtime/connectors/wmp_linux/execution_engine/factory

